timestamp,temperature,gpu_util,mem_util,memory_used,power_draw,sm_clock,pstate
2026/02/10 12:26:43.288,52,100,26,397,70.34,825,P0
2026/02/10 12:26:44.351,53,100,26,397,70.25,825,P0
2026/02/10 12:26:45.419,54,100,26,397,70.25,825,P0
2026/02/10 12:26:46.487,54,100,26,397,70.54,840,P0
2026/02/10 12:26:47.553,55,100,26,397,69.48,825,P0
2026/02/10 12:26:48.617,55,100,26,397,70.73,840,P0
2026/02/10 12:26:49.674,56,100,26,397,70.15,840,P0
2026/02/10 12:26:50.740,56,100,26,397,70.82,825,P0
2026/02/10 12:26:51.795,56,100,26,397,69.72,795,P0
2026/02/10 12:26:52.862,57,100,26,397,70.2,795,P0
2026/02/10 12:26:53.927,57,100,26,397,69.96,810,P0
2026/02/10 12:26:54.989,58,100,26,397,70.15,795,P0
2026/02/10 12:26:56.056,58,100,26,397,70.25,810,P0
2026/02/10 12:26:57.128,59,100,26,397,69.96,780,P0
2026/02/10 12:26:58.195,59,100,25,397,68.85,780,P0
2026/02/10 12:26:59.261,60,100,25,397,70.06,795,P0
2026/02/10 12:27:00.322,60,100,25,397,69.19,780,P0
2026/02/10 12:27:01.387,61,100,25,397,70.06,780,P0
2026/02/10 12:27:02.438,61,100,25,397,69.05,780,P0
2026/02/10 12:27:03.509,61,100,25,397,70.06,765,P0
2026/02/10 12:27:04.566,62,100,25,397,69.58,795,P0
2026/02/10 12:27:05.621,62,100,25,397,69.96,780,P0
2026/02/10 12:27:06.677,63,100,25,397,69.67,780,P0
2026/02/10 12:27:07.744,63,100,25,397,70.15,795,P0
2026/02/10 12:27:08.800,64,100,25,397,70.78,795,P0
2026/02/10 12:27:09.865,64,100,25,397,69.77,780,P0
2026/02/10 12:27:10.921,64,100,25,397,70.34,795,P0
2026/02/10 12:27:11.975,65,100,25,397,71.11,765,P0
2026/02/10 12:27:13.030,65,100,25,397,71.26,765,P0
2026/02/10 12:27:14.097,65,100,25,397,70.82,765,P0
2026/02/10 12:27:15.152,66,100,25,397,70.06,780,P0
2026/02/10 12:27:16.213,66,100,25,397,70.06,780,P0
2026/02/10 12:27:17.275,66,100,25,397,68.71,765,P0
2026/02/10 12:27:18.342,67,100,24,397,71.16,750,P0
2026/02/10 12:27:19.410,67,100,24,397,68.81,780,P0
2026/02/10 12:27:20.475,67,100,24,397,70.49,750,P0
2026/02/10 12:27:21.540,68,100,24,397,70.82,750,P0
2026/02/10 12:27:22.606,68,100,24,397,70.39,750,P0
2026/02/10 12:27:23.670,68,100,24,397,69.29,750,P0
2026/02/10 12:27:24.722,69,100,24,397,68.9,765,P0
2026/02/10 12:27:25.782,69,100,24,397,69.67,750,P0
2026/02/10 12:27:26.845,68,0,0,141,42.05,1590,P0
2026/02/10 12:27:27.907,67,0,0,141,32.1,585,P0
2026/02/10 12:27:28.973,67,0,0,141,32.0,585,P0
2026/02/10 12:27:30.039,66,0,0,141,31.91,585,P0
2026/02/10 12:27:31.094,66,0,0,141,31.91,585,P0
2026/02/10 12:27:32.151,66,0,0,141,32.0,585,P0
2026/02/10 12:27:33.215,66,0,0,141,31.81,585,P0
2026/02/10 12:27:34.271,66,0,0,141,31.81,585,P0
2026/02/10 12:27:35.337,66,0,0,141,31.71,585,P0
2026/02/10 12:27:36.392,66,0,0,141,31.73,585,P0
2026/02/10 12:27:37.457,66,0,0,7,31.98,585,P0
2026/02/10 12:27:38.513,65,0,0,7,31.71,585,P0
2026/02/10 12:27:39.568,64,0,0,7,12.47,300,P8
2026/02/10 12:27:40.633,64,0,0,7,11.69,300,P8
2026/02/10 12:27:41.707,63,0,0,7,11.69,300,P8
2026/02/10 12:27:42.785,63,0,0,7,11.6,300,P8
2026/02/10 12:27:43.859,63,0,0,7,11.4,300,P8
2026/02/10 12:27:44.926,63,0,0,7,11.41,300,P8
2026/02/10 12:27:45.995,62,0,0,7,11.51,300,P8
2026/02/10 12:27:47.062,62,0,0,7,11.51,300,P8
2026/02/10 12:27:48.141,62,0,0,7,11.51,300,P8
2026/02/10 12:27:49.210,62,0,0,7,11.51,300,P8
2026/02/10 12:27:50.278,62,0,0,7,13.25,300,P8
2026/02/10 12:27:51.354,61,0,0,7,11.21,300,P8
2026/02/10 12:27:52.420,61,0,0,7,11.69,300,P8
